,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,maposeni,43,TZ,1587177146,73,-10.58,35.4,62.94,2.44
88,airai,94,TL,1587176593,52,-8.93,125.41,73.24,4.32
89,port moresby,20,PG,1587176961,66,-9.44,147.18,87.8,10.29
90,nantucket,90,US,1587176365,52,41.28,-70.1,44.6,20.8
91,cururupu,100,BR,1587176817,91,-1.83,-44.87,76.21,2.04
92,aykhal,19,RU,1587177147,55,66.0,111.5,6.8,4.47
93,san policarpo,18,PH,1587176643,79,12.18,125.51,82.94,13.29
94,caravelas,17,BR,1587176940,86,-17.71,-39.25,77.63,14.45
95,alofi,12,NU,1587176513,70,-19.06,-169.92,84.2,12.75
96,ekhabi,100,RU,1587177148,92,53.51,142.97,26.24,12.08
97,chokurdakh,50,RU,1587176576,90,70.63,147.92,-3.08,4.85
98,yellowknife,90,CA,1587176450,63,62.46,-114.35,28.0,9.17
99,torbay,75,CA,1587176351,63,47.67,-52.73,30.99,6.93
100,ancud,90,CL,1587176606,100,-41.87,-73.82,55.4,8.05
101,vaini,20,TO,1587176574,65,-21.2,-175.2,82.4,12.75
102,valparaiso,11,CL,1587177027,93,-33.04,-71.63,55.4,8.05
103,bandarbeyla,42,SO,1587177149,72,9.49,50.81,81.5,6.85
104,lorengau,59,PG,1587176639,69,-2.02,147.27,84.31,3.89
105,kholodnyy,100,RU,1587177150,77,62.72,147.95,3.63,12.64
106,ewo,98,CG,1587177150,81,-0.87,14.82,73.6,6.33
107,balingen,100,DE,1587177150,95,48.28,8.85,53.01,1.36
108,sisimiut,99,GL,1587176652,94,66.94,-53.67,23.86,7.78
109,kruisfontein,72,ZA,1587176607,84,-34.0,24.73,55.69,3.2
110,port alfred,55,ZA,1587176353,94,-33.59,26.89,64.0,4.0
111,aksu,100,CN,1587176654,36,41.12,80.26,61.02,5.32
112,salalah,40,OM,1587177055,69,17.02,54.09,78.8,3.36
113,kapit,100,MY,1587177152,84,2.02,112.93,83.97,1.57
114,christchurch,2,NZ,1587176563,42,-43.53,172.63,69.01,14.99
115,takaka,15,NZ,1587177152,71,-40.85,172.8,63.0,11.01
116,betioky,0,MG,1587177152,73,-23.72,44.38,67.98,4.76
117,khatanga,0,RU,1587176626,92,71.97,102.5,15.76,13.6
118,yaan,81,NG,1587177153,74,7.38,8.57,79.32,10.74
119,vorontsovka,23,RU,1587177153,81,50.61,40.35,35.8,7.38
120,ustye,100,RU,1587177153,92,59.63,39.74,32.2,7.63
121,anito,6,PH,1587176652,67,12.45,125.29,85.68,12.8
122,shimoda,75,JP,1587177154,93,34.67,138.95,62.6,27.51
123,pemangkat,100,ID,1587177154,82,1.17,108.97,80.1,8.97
124,la ronge,75,CA,1587176425,64,55.1,-105.28,39.2,16.11
125,osa,100,RU,1587177112,85,57.28,55.46,38.59,12.86
126,itacare,75,BR,1587177155,94,-14.28,-39.0,78.8,4.7
127,cidreira,4,BR,1587176568,87,-30.18,-50.21,64.29,2.15
128,faya,0,SA,1587176598,87,18.39,42.45,60.8,6.93
129,narsaq,69,GL,1587176662,68,60.92,-46.05,28.4,10.29
130,aswan,60,EG,1587176597,42,24.09,32.91,66.2,9.17
131,barentu,19,ER,1587177155,21,15.11,37.59,64.0,0.74
132,esperance,90,AU,1587176585,36,-33.87,121.9,77.0,19.46
133,kerema,73,PG,1587177156,67,-7.96,145.78,85.69,7.99
134,verkhnyaya inta,83,RU,1587177157,82,65.98,60.31,34.7,8.59
135,sao joao da barra,96,BR,1587176623,83,-21.64,-41.05,72.48,11.12
136,rancho palos verdes,40,US,1587176663,67,33.74,-118.39,62.6,8.05
137,karratha,74,AU,1587176650,35,-20.74,116.85,92.41,4.29
138,findlay,90,US,1587177158,93,41.04,-83.65,35.6,8.05
139,the pas,90,CA,1587176621,69,53.83,-101.25,39.2,11.41
140,naze,75,JP,1587176381,78,28.37,129.48,71.6,8.05
141,ambulu,72,ID,1587177158,62,-8.35,113.61,86.68,1.72
142,fortuna,20,US,1587176594,82,40.6,-124.16,59.0,9.17
143,sapulpa,1,US,1587177159,75,36.0,-96.11,44.6,6.53
144,port lincoln,39,AU,1587176609,60,-34.73,135.87,65.41,12.44
145,nanortalik,100,GL,1587177159,90,60.14,-45.24,28.58,14.85
146,ust-kulom,92,RU,1587177160,91,61.69,53.69,32.63,5.06
147,guarapari,75,BR,1587177160,83,-20.67,-40.5,75.2,13.87
148,hilo,20,US,1587176582,51,19.73,-155.09,80.6,6.93
149,paracuru,20,BR,1587177161,88,-3.41,-39.03,82.99,3.36
150,beringovskiy,100,RU,1587177161,97,63.05,179.32,20.68,23.11
151,provideniya,100,RU,1587176522,95,64.38,-173.3,26.51,20.11
152,yenagoa,100,NG,1587177125,94,4.92,6.26,77.79,4.25
153,tobias barreto,13,BR,1587177162,90,-11.18,-38.0,73.18,3.51
154,vardo,100,NO,1587176600,97,70.37,31.11,32.49,26.04
155,pisco,3,PE,1587176961,77,-13.7,-76.22,71.01,12.75
156,hermanus,84,ZA,1587176567,81,-34.42,19.23,57.99,3.0
157,puerto carreno,39,CO,1587176945,53,6.19,-67.49,85.46,3.91
158,batemans bay,1,AU,1587177163,61,-35.72,150.18,68.0,1.99
159,flinders,0,AU,1587176607,42,-34.58,150.86,72.0,5.01
160,labuhan,45,ID,1587176648,67,-6.88,112.21,87.76,3.74
161,jamestown,90,US,1587176532,100,42.1,-79.24,32.0,5.82
162,gidole,100,ET,1587177164,65,5.65,37.37,55.78,3.78
163,tiksi,100,RU,1587176361,93,71.69,128.87,9.32,6.04
164,yatou,6,CN,1587177165,67,37.15,122.38,54.12,11.03
165,vikesa,0,NO,1587177165,80,58.64,6.09,37.0,3.83
166,mitsamiouli,0,KM,1587176583,70,-11.38,43.28,83.82,11.34
167,palafrugell,100,ES,1587177165,92,41.92,3.16,57.99,3.02
168,ransang,36,PH,1587177167,67,8.96,117.58,85.3,5.03
169,iqaluit,75,CA,1587176567,84,63.75,-68.51,6.8,4.7
170,talnakh,97,RU,1587176585,80,69.49,88.4,30.2,24.61
171,katsuura,75,JP,1587176583,93,35.13,140.3,62.6,18.34
172,abu samrah,1,SY,1587176612,53,35.3,37.18,59.2,2.59
173,yambio,97,SS,1587177168,70,4.57,28.4,71.53,6.67
174,gargunnock,75,GB,1587177168,65,56.12,-4.08,41.0,12.75
175,longyearbyen,75,SJ,1587176461,100,78.22,15.64,28.4,9.17
176,dingle,39,PH,1587176646,58,11.0,122.67,89.1,13.56
177,cherskiy,49,RU,1587176618,91,68.75,161.3,10.63,9.82
178,nixa,72,US,1587177169,77,37.04,-93.29,42.01,4.0
179,yantzaza,100,EC,1587177169,59,-3.83,-78.76,68.49,1.7
180,mahebourg,75,MU,1587176575,83,-20.41,57.7,75.2,8.05
181,saint-augustin,100,CA,1587176352,90,51.23,-58.65,23.63,9.22
182,bom jesus,92,BR,1587177170,83,-9.07,-44.36,73.24,1.25
183,asau,20,RO,1587176614,36,46.43,26.4,64.4,10.29
184,saint-leu,0,RE,1587177171,78,-21.15,55.28,71.6,9.17
185,dicabisagan,80,PH,1587177172,68,17.08,122.42,84.15,7.67
186,novokizhinginsk,52,RU,1587177172,40,51.61,109.59,46.0,13.71
187,srednekolymsk,100,RU,1587176655,92,67.45,153.68,5.32,13.04
188,havelock,1,US,1587177014,63,34.88,-76.9,66.99,12.75
189,ugoofaaru,97,MV,1587177173,74,5.67,73.0,85.51,11.86
190,hasaki,75,JP,1587176615,100,35.73,140.83,57.2,26.4
191,chabahar,20,IR,1587177072,57,25.29,60.64,78.91,3.2
192,carnarvon,95,AU,1587176339,69,-24.87,113.63,80.6,5.82
193,katobu,21,ID,1587177067,60,-4.94,122.53,88.92,4.0
194,aklavik,75,CA,1587176664,80,68.22,-135.01,33.8,5.82
195,katete,100,UG,1587176602,63,-0.78,29.75,62.44,3.13
196,los llanos de aridane,20,ES,1587177174,72,28.66,-17.92,66.2,5.82
197,bongor,18,TD,1587177175,14,10.28,15.37,76.14,6.51
198,hualmay,100,PE,1587176626,78,-11.1,-77.61,70.99,6.62
199,lebu,100,CL,1587176302,94,-37.62,-73.65,60.78,3.69
200,tarauaca,50,BR,1587177097,77,-8.16,-70.77,68.18,1.72
